+---------------------------------------------------------------------+------------------------+
|                                name                                 |          city          |
| South Grafton Elementary                                            | South Grafton          |
| East Meadow                                                         | Granby                 |
| Granby Jr Sr High School                                            | Granby                 |
| Greater Commonwealth Virtual School                                 | Greenfield             |
| Diman Regional Vocational Technical High                            | Fall River             |
| Gr Lawrence Regional Vocational Technical                           | Andover                |
| Gr Lowell Regional Vocational Technical                             | Tyngsborough           |
| Gr New Bedford Vocational Technical                                 | New Bedford            |
| Discovery School at Four Corners                                    | Greenfield             |
| Federal Street School                                               | Greenfield             |
| Greenfield High                                                     | Greenfield             |
| Greenfield Middle                                                   | Greenfield             |
| Newton School                                                       | Greenfield             |
| The Academy of Early Learning at North Parish                       | Greenfield             |
| Boutwell School                                                     | Groton                 |
| Florence Roche School                                               | Groton                 |
| Groton Dunstable Regional                                           | Groton                 |
| Groton Dunstable Regional Middle                                    | Groton                 |
| Swallow/Union School                                                | Dunstable              |
| Hadley Elementary                                                   | Hadley                 |
| Hopkins Academy                                                     | Hadley                 |
| Halifax Elementary                                                  | Halifax                |
| Bessie Buker Elementary                                             | Wenham                 |
| Cutler School                                                       | South Hamilton         |
| Hamilton-Wenham Regional High                                       | South Hamilton         |
